# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381676802447e-10       4.179729907467e-15       3.519334461113e-13       2.309816107170e-19       8.236330858084e-09       4.535749842640e-10      -1.842360333309e-12 
    3       1.306695939496e-10       5.354811540063e-15       3.955014811818e-13       4.620582974095e-19       5.068767541580e-09       3.217369448882e-10      -1.394920024241e-12 
    4       1.236017473205e-10       4.629635982721e-15       3.698083464836e-13       7.703065338025e-19       3.524745909269e-09       2.436997656316e-10      -9.127420084397e-13 
    5       1.183100278528e-10       3.087194844082e-15       3.148766363631e-13       1.155847831650e-18       2.631981365722e-09       1.925368304114e-10      -5.069339176750e-13 
    6       1.146812765818e-10       1.726131221632e-15       2.535644895686e-13       1.618829685645e-18       2.056887133129e-09       1.566785065726e-10      -2.081012580434e-13 
    7       1.123167964681e-10       9.336980569861e-16       1.990687305849e-13       2.159422841108e-18       1.660291587910e-09       1.303589930094e-10      -1.764540701403e-14 
    8       1.109366833885e-10       6.038792811074e-16       1.571587974591e-13       2.777818203708e-18       1.372925762742e-09       1.103958778409e-10       7.941423635936e-14 
    9       1.102928149940e-10       4.859034273279e-16       1.291080364205e-13       3.474223482718e-18       1.156601857731e-09       9.490325686816e-11       1.064377784725e-13 
   10       1.101544449525e-10       4.150003001178e-16       1.135879954956e-13       4.248859665772e-18       9.888516239903e-10       8.262927859062e-11       8.927920572419e-14 
   11       1.104628945017e-10       3.497498014334e-16       1.079365894416e-13       5.101957426119e-18       8.333804643963e-10       7.300892330413e-11       5.203130627915e-14 
   12       1.110664408584e-10       3.057951509654e-16       1.090961475348e-13       6.033753562834e-18       7.283489875497e-10       6.455585938879e-11       1.227598595072e-14 
   13       1.119147553469e-10       2.941345188399e-16       1.143823815225e-13       7.044487570530e-18       6.421078351464e-10       5.769181763469e-11      -1.798990573678e-14 
   14       1.129605395768e-10       3.068005831833e-16       1.217750442451e-13       8.134398427827e-18       5.703409407327e-10       5.171511313144e-11      -3.451234672142e-14 
   15       1.141904049240e-10       3.320503318412e-16       1.299846817937e-13       9.303721683628e-18       5.099194359856e-10       4.668820626860e-11      -3.750073221915e-14 
   16       1.155290934351e-10       3.673602880907e-16       1.383481518441e-13       1.055268690742e-17       4.585371961142e-10       4.235494608898e-11      -3.091276579893e-14 
   17       1.170041827525e-10       4.182596471785e-16       1.466476860774e-13       1.188151555495e-17       4.144518044938e-10       3.857281585335e-11      -1.994057071924e-14 
   18       1.185524955788e-10       4.901785766589e-16       1.551403110136e-13       1.329041910366e-17       3.761813040532e-10       3.527413400375e-11      -9.473535938569e-15 
   19       1.201852844127e-10       5.834446625740e-16       1.640479398867e-13       1.477959873955e-17       3.431210407066e-10       3.241159901108e-11      -2.117128971298e-15 
   20       1.218952967852e-10       6.960572488078e-16       1.735112360639e-13       1.634924260514e-17       3.139983795254e-10       2.986963880913e-11       4.177823310025e-16 
   21       1.236840249890e-10       8.273739309764e-16       1.834830491869e-13       1.799952830159e-17       2.883573169284e-10       2.760240653253e-11      -1.297233099661e-15 
   22       1.255254188302e-10       9.769044666536e-16       1.937765715020e-13       1.973061987043e-17       2.655859350900e-10       2.555360874937e-11      -5.508400323671e-15 
   23       1.274243409861e-10       1.144847955206e-15       2.040646300121e-13       2.154267171401e-17       2.453722108427e-10       2.371511237277e-11      -1.047327772780e-14 
   24       1.293744190235e-10       1.331435412226e-15       2.139325630541e-13       2.343582552482e-17       2.272498813464e-10       2.207081013371e-11      -1.433773606806e-14 
   25       1.313776216660e-10       1.536752748016e-15       2.230926109012e-13       2.541021586700e-17       2.110064635797e-10       2.060001059659e-11      -1.626986117765e-14 
   26       1.334227223329e-10       1.761074512552e-15       2.312982614628e-13       2.746596647490e-17       1.963486029567e-10       1.926614596849e-11      -1.593296846090e-14 
   27       1.355046742903e-10       2.006414962799e-15       2.384325138397e-13       2.960319560456e-17       1.831009261148e-10       1.805185459567e-11      -1.394341022605e-14 
   28       1.376117165257e-10       2.275305889070e-15       2.444498524038e-13       3.182201350393e-17       1.710355069626e-10       1.693814235539e-11      -1.130867036164e-14 
   29       1.397530189499e-10       2.569153414377e-15       2.494201564177e-13       3.412253108730e-17       1.600910652871e-10       1.592304259771e-11      -8.694830183080e-15 
   30       1.419330623441e-10       2.888991841488e-15       2.534891756841e-13       3.650485272088e-17       1.501504428932e-10       1.500082175567e-11      -6.780562746226e-15 
   31       1.441458588517e-10       3.235820891011e-15       2.568049283255e-13       3.896907618668e-17       1.410113016517e-10       1.415705273971e-11      -6.191234644588e-15 
   32       1.463944159639e-10       3.610698729282e-15       2.593113038548e-13       4.151530354057e-17       1.326266464727e-10       1.338326585959e-11      -6.736538622829e-15 
   33       1.486758872258e-10       4.014675527861e-15       2.608759295236e-13       4.414363413422e-17       1.249373430883e-10       1.266603917763e-11      -7.873734778333e-15 
   34       1.509805246628e-10       4.448717560592e-15       2.613510270938e-13       4.685416328666e-17       1.178359813553e-10       1.198862675422e-11      -9.001077939078e-15 
   35       1.533105259011e-10       4.913541912369e-15       2.606070818113e-13       4.964698753088e-17       1.112863491840e-10       1.135298229573e-11      -9.839034631984e-15 
   36       1.556660484309e-10       5.409710910780e-15       2.585085753901e-13       5.252220133339e-17       1.052360439645e-10       1.076468344966e-11      -1.017399838024e-14 
   37       1.580429819462e-10       5.937758499638e-15       2.549323899035e-13       5.547989522910e-17       9.960648982459e-11       1.022633018601e-11      -9.836503989292e-15 
   38       1.604453534569e-10       6.498504801906e-15       2.498653582772e-13       5.852015377087e-17       9.438323458765e-11       9.735772779249e-12      -8.978634784196e-15 
   39       1.628758744262e-10       7.092839191895e-15       2.433396594280e-13       6.164305703891e-17       8.954979072880e-11       9.286767474339e-12      -7.892086656997e-15 
   40       1.653318931109e-10       7.721634798425e-15       2.354083123802e-13       6.484868126990e-17       8.506016592995e-11       8.869031817095e-12      -6.939821901185e-15 
   41       1.678081726590e-10       8.385703303796e-15       2.261240685283e-13       6.813709592859e-17       8.085490527180e-11       8.471375188917e-12      -6.460971050425e-15 
   42       1.703076788832e-10       9.085644104661e-15       2.154648107959e-13       7.150835362882e-17       7.692168697813e-11       8.093102297150e-12      -6.437250518118e-15 
   43       1.728333479754e-10       9.821944324877e-15       2.033859794209e-13       7.496249703464e-17       7.325011971006e-11       7.735771410768e-12      -6.725693298850e-15 
   44       1.753847114002e-10       1.059501476793e-14       1.898405587739e-13       7.849956142514e-17       6.981355775801e-11       7.399969432117e-12      -7.146759514072e-15 
   45       1.779594891997e-10       1.140523065762e-14       1.747804136655e-13       8.211957092212e-17       6.657863047580e-11       7.085449321040e-12      -7.524100158637e-15 
   46       1.805597358210e-10       1.225307796878e-14       1.581614507042e-13       8.582252617399e-17       6.354027780295e-11       6.791801829291e-12      -7.823350283106e-15 
   47       1.831869556933e-10       1.313904392514e-14       1.399395119859e-13       8.960841274027e-17       6.069498740200e-11       6.517832661169e-12      -8.050984982812e-15 
   48       1.858401094135e-10       1.406357454117e-14       1.200686974861e-13       9.347720405118e-17       5.803022680185e-11       6.261278892686e-12      -8.216053798160e-15 
   49       1.885153864162e-10       1.502707313536e-14       9.850117166031e-14       9.742886105210e-17       5.552377248897e-11       6.018732715415e-12      -8.330340810670e-15 
   50       1.912083641904e-10       1.602987243687e-14       7.519232337127e-14       1.014633318374e-16       5.315040832356e-11       5.786615444828e-12      -8.408822873704e-15 
   51       1.939217042894e-10       1.707214542856e-14       5.011834553433e-14       1.055805512600e-16       5.090572078910e-11       5.564588142295e-12      -8.470819515629e-15 
   52       1.966591523610e-10       1.815396773342e-14       2.326309296488e-14       1.097804406008e-16       4.878760298747e-11       5.352934954426e-12      -8.539431900699e-15 
