# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042057218184e-05       4.833537440101e+01 
       2.326967396518e-05       1.050301521738e+02 
       3.616373004096e-05       1.608006162489e+02 
       4.913726119543e-05       2.162187370378e+02 
       6.222535631243e-05       2.716139589369e+02 
       7.546398371172e-05       3.272355744254e+02 
       8.889031239435e-05       3.832982857593e+02 
       1.025430474484e-04       4.400009711164e+02 
       1.164627839011e-04       4.975362809542e+02 
       1.306923833363e-04       5.560965275175e+02 
       1.452773776036e-04       6.158777778439e+02 
       1.602664038899e-04       6.770830663007e+02 
       1.757116752494e-04       7.399251642863e+02 
       1.916694903341e-04       8.046291137469e+02 
       2.082007854273e-04       8.714346687313e+02 
       2.253717308399e-04       9.405987472634e+02 
       2.432543721139e-04       1.012397804457e+03 
       2.619273140799e-04       1.087130353812e+03 
       2.814764423712e-04       1.165119453127e+03 
       3.019956721811e-04       1.246715037749e+03 
       3.235877075017e-04       1.332296380959e+03 
       3.463647854008e-04       1.422274172046e+03 
       3.704493687096e-04       1.517092120435e+03 
       3.959747365486e-04       1.617228374226e+03 
       4.230854054249e-04       1.723195504949e+03 
       4.519372946641e-04       1.835539776096e+03 
       4.826975299902e-04       1.954838616921e+03 
       5.155437605336e-04       2.081695691366e+03 
       5.506628513833e-04       2.216734386034e+03 
       5.882488116093e-04       2.360586922621e+03 
       6.284998336438e-04       2.513881155272e+03 
       6.716143617775e-04       2.677223352782e+03 
       7.177861817800e-04       2.851177696363e+03 
       7.671986324415e-04       3.036243038310e+03 
       8.200181772979e-04       3.232827929671e+03 
       8.763877240517e-04       3.441225618288e+03 
       9.364202117880e-04       3.661592361287e+03 
       1.000193066268e-03       3.893927823534e+03 
       1.067744117806e-03       4.138065300753e+03 
       1.139069465963e-03       4.393667903504e+03 
       1.214123567878e-03       4.660235700029e+03 
       1.292821558526e-03       4.937120980754e+03 
       1.375043537819e-03       5.223531274375e+03 
       1.460640339736e-03       5.518594538602e+03 
       1.549440174665e-03       5.821393653268e+03 
       1.641255521180e-03       6.130955571898e+03 
       1.735889722335e-03       6.446297882453e+03 
       1.833142880320e-03       6.766452866652e+03 
       1.932816803010e-03       7.090485227496e+03 
       2.034718904398e-03       7.417507837903e+03 
       2.138665078221e-03       7.746690529780e+03 
       2.244481643054e-03       8.077266531479e+03 
       2.352006500164e-03       8.408535422378e+03 
       2.461089659677e-03       8.739861139067e+03 
       2.571593285330e-03       9.070673210205e+03 
       2.683391391204e-03       9.400460326543e+03 
       2.796369301947e-03       9.728768797312e+03 
       2.910422965201e-03       1.005519675953e+04 
       3.025458183933e-03       1.037939113707e+04 
       3.141389818318e-03       1.070104102639e+04 
       3.258140992060e-03       1.101987598392e+04 
       3.375642326539e-03       1.133565944856e+04 
       3.493831217437e-03       1.164818720767e+04 
       3.612651162093e-03       1.195728171516e+04 
       3.732051141295e-03       1.226279300151e+04 
       3.851985056103e-03       1.256459008053e+04 
       3.972411218197e-03       1.286256472801e+04 
       4.093291891005e-03       1.315662368570e+04 
       4.214592878106e-03       1.344669289922e+04 
       4.336283155065e-03       1.373270696661e+04 
       4.458334540772e-03       1.401461991497e+04 
       4.580721404453e-03       1.429239060307e+04 
       4.703420404697e-03       1.456598250877e+04 
       4.826410257108e-03       1.483533867083e+04 
       4.949671527455e-03       1.510054018850e+04 
       5.073186447493e-03       1.536150259781e+04 
       5.196938750908e-03       1.561824598111e+04 
       5.320913527096e-03       1.587080775581e+04 
       5.445097090744e-03       1.611920385922e+04 
       5.569476865404e-03       1.636338561213e+04 
       5.694041279472e-03       1.660265234313e+04 
       5.818779673127e-03       1.683849403500e+04 
       5.943682215021e-03       1.707019317245e+04 
       6.068739827586e-03       1.729772887137e+04 
       6.193944119998e-03       1.752125769784e+04 
       6.319287327941e-03       1.774087787602e+04 
       6.444762259421e-03       1.795665530155e+04 
       6.570362245949e-03       1.816792685453e+04 
       6.696081098522e-03       1.837532829579e+04 
       6.821913067871e-03       1.857874443881e+04 
       6.947852808524e-03       1.877835746885e+04 
       7.073895346275e-03       1.897410712111e+04 
       7.200036048708e-03       1.916598679075e+04 
       7.326270598441e-03       1.935407027476e+04 
       7.452594968835e-03       1.953825066428e+04 
       7.579005401889e-03       1.971889712126e+04 
       7.705498388119e-03       1.989634484768e+04 
       7.832070648221e-03       2.006961433889e+04 
       7.958719116330e-03       2.023925038130e+04 
       8.085440924732e-03       2.040530416830e+04 
       8.212233389883e-03       2.056786806942e+04 
       8.339093999610e-03       2.072690676949e+04 
       8.466020401381e-03       2.088247319854e+04 
       8.593010391548e-03       2.103460924373e+04 
       8.720061905472e-03       2.118335916548e+04 
       8.847173008444e-03       2.132874787102e+04 
       8.974341887335e-03       2.147077468666e+04 
       9.101566842917e-03       2.160954855336e+04 
       9.228846282772e-03       2.174508134019e+04 
       9.356178714768e-03       2.187738682988e+04 
       9.483562741032e-03       2.200653239484e+04 
       9.610997052378e-03       2.213253826798e+04 
       9.738480423170e-03       2.225546448771e+04 
       9.866011706560e-03       2.237524058219e+04 
       9.993589830082e-03       2.249207311448e+04 
       1.012121379158e-02       2.260578325830e+04 
       1.024888265542e-02       2.271657349036e+04 
       1.037659554899e-02       2.282450686177e+04 
       1.050435165945e-02       2.292945753216e+04 
       1.063215023072e-02       2.303147377697e+04 
       1.075999056067e-02       2.313078916821e+04 
       1.088787199852e-02       2.322712745146e+04 
       1.101579394241e-02       2.332081547426e+04 
       1.114375583718e-02       2.341173783933e+04 
       1.127175717225e-02       2.349995216053e+04 
       1.139979747971e-02       2.358546935385e+04 
       1.152787633247e-02       2.366834661900e+04 
       1.165599334260e-02       2.374860307186e+04 
       1.178414815979e-02       2.382628283205e+04 
       1.191234046984e-02       2.390139267441e+04 
       1.204056999334e-02       2.397405822745e+04 
       1.216883648443e-02       2.404402447267e+04 
       1.229713972958e-02       2.411164976542e+04 
       1.242547954653e-02       2.417681028523e+04 
