# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381672071491e-10       4.179498925814e-15       3.519334501164e-13       0.000000000000e+00       8.236330858084e-09       4.535749842640e-10      -1.842360333309e-12 
    3       1.306686500505e-10       5.354349481342e-15       3.955014990329e-13       0.000000000000e+00       5.068767541580e-09       3.217369448882e-10      -1.394920024241e-12 
    4       1.236001791860e-10       4.628865674104e-15       3.698083977855e-13       0.000000000000e+00       3.524745909269e-09       2.436997656316e-10      -9.127420084397e-13 
    5       1.183076849360e-10       3.086038989120e-15       3.148767532592e-13       0.000000000000e+00       2.631981365722e-09       1.925368304114e-10      -5.069339176750e-13 
    6       1.146780117988e-10       1.724512372523e-15       2.535647194830e-13       0.000000000000e+00       2.056887133129e-09       1.566785065726e-10      -2.081012580434e-13 
    7       1.123124666895e-10       9.315385890123e-16       1.990691387269e-13       0.000000000000e+00       1.660291587910e-09       1.303589930094e-10      -1.764540701403e-14 
    8       1.109311498325e-10       6.011013697490e-16       1.571594690550e-13       0.000000000000e+00       1.372925762742e-09       1.103958778409e-10       7.941423635936e-14 
    9       1.102859435151e-10       4.824290285356e-16       1.291090786525e-13       0.000000000000e+00       1.156601857731e-09       9.490325686816e-11       1.064377784725e-13 
   10       1.101461062215e-10       4.107511342575e-16       1.135895391307e-13       0.000000000000e+00       9.888516239903e-10       8.262927859062e-11       8.927920572419e-14 
   11       1.104529640782e-10       3.446473413943e-16       1.079387901458e-13       0.000000000000e+00       8.333804643963e-10       7.300892330413e-11       5.203130627915e-14 
   12       1.110547991589e-10       2.997606149004e-16       1.090991868739e-13       0.000000000000e+00       7.283489875497e-10       6.455585938879e-11       1.227598595072e-14 
   13       1.119012875175e-10       2.870888679631e-16       1.143864676596e-13       0.000000000000e+00       6.421078351464e-10       5.769181763469e-11      -1.798990573678e-14 
   14       1.129451352792e-10       2.986645249848e-16       1.217804123500e-13       0.000000000000e+00       5.703409407327e-10       5.171511313144e-11      -3.451234672142e-14 
   15       1.141729580489e-10       3.227443289979e-16       1.299915941849e-13       0.000000000000e+00       5.099194359856e-10       4.668820626860e-11      -3.750073221915e-14 
   16       1.155095017588e-10       3.568045732459e-16       1.383568978878e-13       0.000000000000e+00       4.585371961142e-10       4.235494608898e-11      -3.091276579893e-14 
   17       1.169823475529e-10       4.063742436485e-16       1.466585818692e-13       0.000000000000e+00       4.144518044938e-10       3.857281585335e-11      -1.994057071924e-14 
   18       1.185283212205e-10       4.768833248679e-16       1.551536988589e-13       0.000000000000e+00       3.761813040532e-10       3.527413400375e-11      -9.473535938569e-15 
   19       1.201586779674e-10       5.686592527287e-16       1.640641876703e-13       0.000000000000e+00       3.431210407066e-10       3.241159901108e-11      -2.117128971298e-15 
   20       1.218661675771e-10       6.797012576801e-16       1.735307363537e-13       0.000000000000e+00       3.139983795254e-10       2.986963880913e-11       4.177823310025e-16 
   21       1.236522842878e-10       8.093668644926e-16       1.835062183752e-13       0.000000000000e+00       2.883573169284e-10       2.760240653253e-11      -1.297233099661e-15 
   22       1.254909794590e-10       9.571658065264e-16       1.938038486589e-13       0.000000000000e+00       2.655859350900e-10       2.555360874937e-11      -5.508400323671e-15 
   23       1.273871171192e-10       1.123297208249e-15       2.040964758071e-13       0.000000000000e+00       2.453722108427e-10       2.371511237277e-11      -1.047327772780e-14 
   24       1.293343258999e-10       1.307992163944e-15       2.139694583819e-13       0.000000000000e+00       2.272498813464e-10       2.207081013371e-11      -1.433773606806e-14 
   25       1.313345755421e-10       1.511336714793e-15       2.231350555750e-13       0.000000000000e+00       2.110064635797e-10       2.060001059659e-11      -1.626986117765e-14 
   26       1.333766403306e-10       1.733605599433e-15       2.313467726018e-13       0.000000000000e+00       1.963486029567e-10       1.926614596849e-11      -1.593296846090e-14 
   27       1.354554744654e-10       1.976813317575e-15       2.384876242512e-13       0.000000000000e+00       1.831009261148e-10       1.805185459567e-11      -1.394341022605e-14 
   28       1.375593178702e-10       2.243491960145e-15       2.445121086699e-13       0.000000000000e+00       1.710355069626e-10       1.693814235539e-11      -1.130867036164e-14 
   29       1.396973416989e-10       2.535047993842e-15       2.494901168445e-13       0.000000000000e+00       1.600910652871e-10       1.592304259771e-11      -8.694830183080e-15 
   30       1.418740280799e-10       2.852516123954e-15       2.535674080208e-13       0.000000000000e+00       1.501504428932e-10       1.500082175567e-11      -6.780562746226e-15 
   31       1.440833906179e-10       3.196896531782e-15       2.568920071928e-13       0.000000000000e+00       1.410113016517e-10       1.415705273971e-11      -6.191234644588e-15 
   32       1.463284386921e-10       3.569247873640e-15       2.594078076739e-13       0.000000000000e+00       1.326266464727e-10       1.338326585959e-11      -6.736538622829e-15 
   33       1.486063280074e-10       3.970620862377e-15       2.609824374636e-13       0.000000000000e+00       1.249373430883e-10       1.266603917763e-11      -7.873734778333e-15 
   34       1.509073129845e-10       4.401982366127e-15       2.614681156979e-13       0.000000000000e+00       1.178359813553e-10       1.198862675422e-11      -9.001077939078e-15 
   35       1.532335939413e-10       4.864050089609e-15       2.607353206774e-13       0.000000000000e+00       1.112863491840e-10       1.135298229573e-11      -9.839034631984e-15 
   36       1.555853313620e-10       5.357387026211e-15       2.586485231359e-13       0.000000000000e+00       1.052360439645e-10       1.076468344966e-11      -1.017399838024e-14 
   37       1.579584181610e-10       5.882527834810e-15       2.550845897855e-13       0.000000000000e+00       9.960648982459e-11       1.022633018601e-11      -9.836503989292e-15 
   38       1.603568844893e-10       6.440293384713e-15       2.500303324471e-13       0.000000000000e+00       9.438323458765e-11       9.735772779249e-12      -8.978634784196e-15 
   39       1.627834451150e-10       7.031573841619e-15       2.435179037272e-13       0.000000000000e+00       8.954979072880e-11       9.286767474339e-12      -7.892086656997e-15 
   40       1.652354518697e-10       7.657243176702e-15       2.356002912022e-13       0.000000000000e+00       8.506016592995e-11       8.869031817095e-12      -6.939821901185e-15 
   41       1.677076715690e-10       8.318113969379e-15       2.263302091929e-13       0.000000000000e+00       8.085490527180e-11       8.471375188917e-12      -6.460971050425e-15 
   42       1.702030731356e-10       9.014786579015e-15       2.156854968316e-13       0.000000000000e+00       7.692168697813e-11       8.093102297150e-12      -6.437250518118e-15 
   43       1.727245957853e-10       9.747749151921e-15       2.036215441916e-13       0.000000000000e+00       7.325011971006e-11       7.735771410768e-12      -6.725693298850e-15 
   44       1.752717741065e-10       1.051741357220e-14       1.900912790835e-13       0.000000000000e+00       6.981355775801e-11       7.399969432117e-12      -7.146759514072e-15 
   45       1.778423311585e-10       1.132415622079e-14       1.750465035709e-13       0.000000000000e+00       6.657863047580e-11       7.085449321040e-12      -7.524100158637e-15 
   46       1.804383235913e-10       1.216846436538e-14       1.584430566216e-13       0.000000000000e+00       6.354027780295e-11       6.791801829291e-12      -7.823350283106e-15 
   47       1.830612577293e-10       1.305082661859e-14       1.402367064622e-13       0.000000000000e+00       6.069498740200e-11       6.517832661169e-12      -8.050984982812e-15 
   48       1.857100959455e-10       1.397169046612e-14       1.203814723249e-13       0.000000000000e+00       5.803022680185e-11       6.261278892686e-12      -8.216053798160e-15 
   49       1.883810293247e-10       1.493146078207e-14       9.882943082325e-14       0.000000000000e+00       5.552377248897e-11       6.018732715415e-12      -8.330340810670e-15 
   50       1.910696368129e-10       1.593047195541e-14       7.553587720469e-14       0.000000000000e+00       5.315040832356e-11       5.786615444828e-12      -8.408822873704e-15 
