# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_gsf            15:(.)p_gsf              16:(.)p_prime_gsf        17:(.)cs2_gsf            18:(.)w_gsf              19:phi_gsf               20:phi'_gsf              21:phi''_gsf             22:V_gsf                 23:V'_gsf                24:V''_gsf               25:P_gsf                 26:PX_gsf                27:Pphi_gsf              28:PXX_gsf               29:PXphi_gsf             30:Pphiphi_gsf           31:PXXX_gsf              32:PXXphi_gsf            33:PXphiphi_gsf          34:A_gsf                 35:B_gsf                 36:C_dif_gsf             37:D_gsf                 38:(.)rho_tot            39:(.)p_tot              40:(.)p_tot_prime        41:gr.fac. D             42:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.400419278684e+04       1.400419278684e-10       1.400419278684e+18       2.676317464532e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       1.902194177205e+44       4.653754712833e+44       2.202307388070e-07      -3.770086484212e-08      -1.469286530632e+17       1.503223624900e-01      -1.711880232812e-01       7.000000000000e+01       1.000000000000e-17       1.184404705511e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.131025945264e-07       5.475896218945e-01       7.737948109473e-08       3.095179243789e+06       3.095179243789e-01       1.547589621895e-08       0.000000000000e+00       6.190358487578e+05       6.190358487578e-02       3.642768865684e+00       6.683321996625e+08       1.099783458223e-09       0.000000000000e+00       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.585604939472e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208823e-26       4.685716703534e-09       2.111374631024e+22       1.400419278684e+04       1.415553550911e-10       1.385446813261e+18       2.705240316110e-09       2.635761930281e+44       2.411394910978e+33       1.293969540318e+34       1.822140902098e+44       4.457902832533e+44       2.144524717960e-07      -3.856297490998e-08      -1.375965999441e+17       1.480612036015e-01      -1.798206128707e-01       7.000000000000e+01       1.005955668333e-17       1.193283711417e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.156889247299e-07       5.327701970637e-01       7.590463401178e-08       3.095179243789e+06       3.065540394127e-01       1.518092680236e-08       0.000000000000e+00       6.190358487578e+05       6.131080788255e-02       3.598310591191e+00       6.640822304815e+08       1.097417825701e-09       0.000000000000e+00       4.457902832533e+44       1.485967610793e+44      -1.268536174643e+53       5.705684052086e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675380e-26       4.736648406833e-09       2.066468804568e+22       1.400419278684e+04       1.430851378582e-10       1.370634424698e+18       2.734475734723e-09       2.524836674885e+44       2.334875197339e+33       1.252908585004e+34       1.745456645219e+44       4.270293320253e+44       2.088842140845e-07      -3.938116324322e-08      -1.288384772481e+17       1.458009788455e-01      -1.885310645221e-01       7.000000000000e+01       1.012020582662e-17       1.202131854474e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.181434897296e-07       5.183140414845e-01       7.447961319833e-08       3.095179243789e+06       3.036628082969e-01       1.489592263967e-08       0.000000000000e+00       6.190358487578e+05       6.073256165938e-02       3.554942124453e+00       6.598455596621e+08       1.095128204618e-09       0.000000000000e+00       4.270293320253e+44       1.423431106701e+44      -1.202158531080e+53       5.825763164687e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489070e-26       4.787580110133e-09       2.022518058854e+22       1.400419278684e+04       1.446314529232e-10       1.355980401547e+18       2.764027098839e-09       2.418579675807e+44       2.260783649468e+33       1.213150598578e+34       1.671999622440e+44       4.090579298390e+44       2.035179420728e-07      -4.015754760486e-08      -1.206202374162e+17       1.435425695364e-01      -1.973169893320e-01       7.000000000000e+01       1.018196243693e-17       1.210946329392e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.204726428146e-07       5.042134002898e-01       7.310264690331e-08       3.095179243789e+06       3.008426800580e-01       1.462052938066e-08       0.000000000000e+00       6.190358487578e+05       6.016853601159e-02       3.512640200870e+00       6.556212967640e+08       1.092913017422e-09       0.000000000000e+00       4.090579298390e+44       1.363526432749e+44      -1.139254175590e+53       5.945842277280e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922800e-26       4.838511813432e-09       1.979502080722e+22       1.400419278684e+04       1.461944789501e-10       1.341483050656e+18       2.793897823452e-09       2.316794470871e+44       2.189043215469e+33       1.174654234510e+34       1.601634016574e+44       3.918428487584e+44       1.983459524766e-07      -4.089414949025e-08      -1.129097781839e+17       1.412868608697e-01      -2.061758708945e-01       7.000000000000e+01       1.024484155580e-17       1.219724335426e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.226824484707e-07       4.904606649184e-01       7.177203059005e-08       3.095179243789e+06       2.980921329837e-01       1.435440611801e-08       0.000000000000e+00       6.190358487578e+05       5.961842659674e-02       3.471381994755e+00       6.514085875379e+08       1.090770686398e-09       0.000000000000e+00       3.918428487584e+44       1.306142829148e+44      -1.079641364298e+53       6.065921389875e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954567e-26       4.891262506135e-09       1.937400989045e+22       1.400419278684e+04       1.477743965335e-10       1.327140696979e+18       2.824091359693e-09       2.219292865953e+44       2.119579288499e+33       1.137379458305e+34       1.534229726263e+44       3.753522592351e+44       1.933608487433e-07      -4.159289834342e-08      -1.056768347240e+17       1.390347402957e-01      -2.151050671000e-01       7.000000000000e+01       1.030885825125e-17       1.228463081532e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.247786950303e-07       4.770483687745e-01       7.048612412601e-08       3.095179243789e+06       2.954096737549e-01       1.409722482520e-08       0.000000000000e+00       6.190358487578e+05       5.908193475098e-02       3.431145106324e+00       6.472066150246e+08       1.088699634406e-09       0.000000000000e+00       3.753522592351e+44       1.251174197405e+44      -1.023147863295e+53       6.186000502467e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325758e-26       4.944013198838e-09       1.896195325534e+22       1.400419278684e+04       1.493713882197e-10       1.312951683375e+18       2.854611196175e-09       2.125894587024e+44       2.052319629182e+33       1.101287505862e+34       1.469662125423e+44       3.595556712578e+44       1.885555289439e-07      -4.225563546542e-08      -9.889287872928e+16       1.367870962700e-01      -2.241018107615e-01       7.000000000000e+01       1.037402761821e-17       1.237159790020e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.267669063962e-07       4.639691854487e-01       6.924334932279e-08       3.095179243789e+06       2.927938370897e-01       1.384866986456e-08       0.000000000000e+00       6.190358487578e+05       5.855876741795e-02       3.391907556346e+00       6.430146000874e+08       1.086698286040e-09       0.000000000000e+00       3.595556712578e+44       1.198518904149e+44      -9.696104510082e+52       6.306079615058e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577801e-26       4.998582880944e-09       1.855866045754e+22       1.400419278684e+04       1.509856385279e-10       1.298914370421e+18       2.885460859268e-09       2.036426946831e+44       1.987194290481e+33       1.066340843165e+34       1.407811832824e+44       3.444238779782e+44       1.839231735981e-07      -4.288411784113e-08      -9.253102219133e+16       1.345448167391e-01      -2.331632115855e-01       7.000000000000e+01       1.044036477394e-17       1.245811701192e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.286523535234e-07       4.512159254942e-01       6.804218743177e-08       3.095179243789e+06       2.902431850988e-01       1.360843748635e-08       0.000000000000e+00       6.190358487578e+05       5.804863701977e-02       3.353647776483e+00       6.388318021845e+08       1.084765068562e-09       0.000000000000e+00       3.444238779782e+44       1.148079593218e+44      -9.188744466288e+52       6.426158727650e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095006e-26       5.051333573647e-09       1.816394510313e+22       1.400419278684e+04       1.526173339713e-10       1.285027136223e+18       2.916643913472e-09       1.950724525616e+44       1.924135544956e+33       1.032503127248e+34       1.348564491358e+44       3.299289017096e+44       1.794572339984e-07      -4.348002180481e-08      -8.656592636894e+16       1.323087876022e-01      -2.422862586035e-01       7.000000000000e+01       1.050788485347e-17       1.254416078026e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.304400654144e-07       4.387815332732e-01       6.688117674096e-08       3.095179243789e+06       2.877563066546e-01       1.337623534819e-08       0.000000000000e+00       6.190358487578e+05       5.755126133093e-02       3.316344599820e+00       6.346575200756e+08       1.082898412863e-09       0.000000000000e+00       3.299289017096e+44       1.099763005658e+44      -8.707932632011e+52       6.546237840240e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129470e-26       5.105903255753e-09       1.777762476255e+22       1.400419278684e+04       1.542666630787e-10       1.271288376226e+18       2.948163961687e-09       1.868628865258e+44       1.863077814332e+33       9.997391684009e+33       1.291810556602e+44       3.160439421979e+44       1.751514212638e-07      -4.404494651833e-08      -8.097371594012e+16       1.300798912842e-01      -2.514678225305e-01       7.000000000000e+01       1.057660300752e-17       1.262970210406e-09       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.321348395550e-07       4.266590845817e-01       6.575891033463e-08       3.095179243789e+06       2.853318169163e-01       1.315178206693e-08       0.000000000000e+00       6.190358487578e+05       5.706636338327e-02       3.279977253745e+00       6.304910923064e+08       1.081096754539e-09       0.000000000000e+00       3.160439421979e+44       1.053479807287e+44      -8.252279841044e+52       6.666316952827e-06       1.675769387306e+00 
