# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.335556503284e-10       4.205466329584e-15       3.391605999230e-13       0.000000000000e+00       8.075917179795e-09       4.311258172366e-10      -1.835282815317e-12 
    3       1.290235668282e-10       5.330886659057e-15       3.833361882298e-13       0.000000000000e+00       4.943738744709e-09       3.139206722834e-10      -1.377821993839e-12 
    4       1.234133813823e-10       4.530372973139e-15       3.605496628589e-13       0.000000000000e+00       3.428314548756e-09       2.421362623829e-10      -8.868576346913e-13 
    5       1.188645411006e-10       2.963048756000e-15       3.085331669287e-13       0.000000000000e+00       2.555336092898e-09       1.939267201267e-10      -4.777159868607e-13 
    6       1.156342550594e-10       1.632969824678e-15       2.494944274905e-13       0.000000000000e+00       1.994354034098e-09       1.596364377662e-10      -1.811594741094e-13 
    7       1.135458956508e-10       8.873357554667e-16       1.966312312582e-13       0.000000000000e+00       1.608178641116e-09       1.342159608123e-10       2.937158525116e-15 
    8       1.122723647912e-10       5.865208672601e-16       1.558976713781e-13       0.000000000000e+00       1.328703201311e-09       1.146902207288e-10       9.177668410528e-14 
    9       1.116646497557e-10       4.748379105943e-16       1.286991432460e-13       0.000000000000e+00       1.118531994037e-09       9.928632331407e-11       1.109508936538e-13 
   10       1.115953649655e-10       4.007275465297e-16       1.137301800490e-13       0.000000000000e+00       9.557143948689e-10       8.694671694487e-11       8.799301190267e-14 
   11       1.118731753445e-10       3.345194216169e-16       1.084356720484e-13       0.000000000000e+00       8.062350836039e-10       7.719786009664e-11       4.776658627063e-14 
   12       1.124892690277e-10       2.936276058234e-16       1.098906247781e-13       0.000000000000e+00       7.044684931144e-10       6.887154814478e-11       8.024509301156e-15 
   13       1.133407150415e-10       2.851915264762e-16       1.153958432109e-13       0.000000000000e+00       6.209518092421e-10       6.165516200226e-11      -2.068360329750e-14 
   14       1.143346503761e-10       2.989416305726e-16       1.229683489591e-13       0.000000000000e+00       5.514739664670e-10       5.554582055852e-11      -3.436543568440e-14 
   15       1.155346540276e-10       3.245534331248e-16       1.313347305803e-13       0.000000000000e+00       4.930056725461e-10       5.035852564991e-11      -3.468588937698e-14 
   16       1.168650343974e-10       3.618745750853e-16       1.398661465033e-13       0.000000000000e+00       4.433009549223e-10       4.589492312332e-11      -2.641953325108e-14 
   17       1.183210150501e-10       4.168145121632e-16       1.484152377471e-13       0.000000000000e+00       4.006636920271e-10       4.191163817297e-11      -1.524958313862e-14 
   18       1.198672308611e-10       4.933997748876e-16       1.571645223002e-13       0.000000000000e+00       3.636565638950e-10       3.839246188861e-11      -5.711831729734e-15 
   19       1.215053355152e-10       5.911826457260e-16       1.663387811704e-13       0.000000000000e+00       3.316921160181e-10       3.532833403732e-11       5.696441423953e-17 
   20       1.232012733126e-10       7.077650341703e-16       1.761068144923e-13       0.000000000000e+00       3.035390658404e-10       3.261118024802e-11       8.943536869139e-16 
   21       1.249684394413e-10       8.428732855668e-16       1.863368013234e-13       0.000000000000e+00       2.787551410201e-10       3.020844198535e-11      -2.182289141242e-15 
   22       1.268030535329e-10       9.966377475132e-16       1.967292390319e-13       0.000000000000e+00       2.567469174232e-10       2.807027635867e-11      -7.019449670391e-15 
   23       1.287010392137e-10       1.169201201062e-15       2.069838331545e-13       0.000000000000e+00       2.372117271894e-10       2.615704790206e-11      -1.182318537567e-14 
   24       1.306398657813e-10       1.360587371912e-15       2.167576863362e-13       0.000000000000e+00       2.196980694295e-10       2.441049477834e-11      -1.489014302759e-14 
   25       1.326354434172e-10       1.571175558719e-15       2.257614825468e-13       0.000000000000e+00       2.040004805036e-10       2.281771253503e-11      -1.579030701550e-14 
   26       1.346958416323e-10       1.801697507497e-15       2.337372504344e-13       0.000000000000e+00       1.898355578125e-10       2.136511765819e-11      -1.467609971301e-14 
   27       1.368014544704e-10       2.054341617379e-15       2.406272308137e-13       0.000000000000e+00       1.770338337027e-10       2.004140794791e-11      -1.230705129097e-14 
   28       1.389170527299e-10       2.331693631203e-15       2.464580700649e-13       0.000000000000e+00       1.653749711746e-10       1.882767262124e-11      -9.705721861614e-15 
   29       1.410530614853e-10       2.635060558774e-15       2.512791658324e-13       0.000000000000e+00       1.547995142474e-10       1.772082125244e-11      -7.465023622194e-15 
   30       1.432246357566e-10       2.965285534165e-15       2.551760147732e-13       0.000000000000e+00       1.451938840567e-10       1.671243820884e-11      -6.131884822498e-15 
   31       1.454364204951e-10       3.323167904074e-15       2.582361727447e-13       0.000000000000e+00       1.363621926994e-10       1.578498430881e-11      -6.167363806519e-15 
   32       1.476908233660e-10       3.709764703197e-15       2.604064336010e-13       0.000000000000e+00       1.282590931823e-10       1.493112727823e-11      -7.236938983177e-15 
   33       1.499800843421e-10       4.126193787025e-15       2.615812347304e-13       0.000000000000e+00       1.208276722126e-10       1.413981521833e-11      -8.636381650761e-15 
   34       1.522900421679e-10       4.573505706359e-15       2.616397178011e-13       0.000000000000e+00       1.139643644671e-10       1.339595769837e-11      -9.633216866249e-15 
   35       1.546260918131e-10       5.052519129888e-15       2.604516518933e-13       0.000000000000e+00       1.076341956786e-10       1.269995925549e-11      -1.006970141581e-14 
   36       1.569946238245e-10       5.563917194239e-15       2.578712367853e-13       0.000000000000e+00       1.017864710785e-10       1.205413803631e-11      -9.966605600956e-15 
   37       1.593968981486e-10       6.108334242990e-15       2.537644125387e-13       0.000000000000e+00       9.634519990346e-11       1.145786492394e-11      -9.385093755575e-15 
   38       1.618342247930e-10       6.686530192855e-15       2.481125147945e-13       0.000000000000e+00       9.129641452941e-11       1.090982672408e-11      -8.491328124555e-15 
   39       1.643032845762e-10       7.299266024245e-15       2.409434451660e-13       0.000000000000e+00       8.662419568300e-11       1.040593667711e-11      -7.518093012029e-15 
   40       1.667938881099e-10       7.947253180013e-15       2.323054949758e-13       0.000000000000e+00       8.228411073523e-11       9.938321331662e-12      -6.751884520275e-15 
   41       1.692940284902e-10       8.631174043420e-15       2.222481324549e-13       0.000000000000e+00       7.821871742976e-11       9.497721740205e-12      -6.453515680111e-15 
   42       1.718086211815e-10       9.351758746578e-15       2.107538938081e-13       0.000000000000e+00       7.441612586578e-11       9.082401795540e-12      -6.580677097247e-15 
   43       1.743457418057e-10       1.010972821455e-14       1.977863847775e-13       0.000000000000e+00       7.086631281794e-11       8.691604478909e-12      -6.980781074582e-15 
   44       1.769111640368e-10       1.090577136905e-14       1.833086309061e-13       0.000000000000e+00       6.754354718460e-11       8.322954129442e-12      -7.463708787918e-15 
   45       1.795083615091e-10       1.174050786367e-14       1.672816862759e-13       0.000000000000e+00       6.441559752477e-11       7.973408425635e-12      -7.846464464363e-15 
   46       1.821391609132e-10       1.261436644747e-14       1.496603932891e-13       0.000000000000e+00       6.147758491043e-11       7.642762490384e-12      -8.108464338459e-15 
   47       1.848028173368e-10       1.352766775163e-14       1.303960451521e-13       0.000000000000e+00       5.872612294982e-11       7.330969487472e-12      -8.278769975828e-15 
   48       1.874955030746e-10       1.448065350465e-14       1.094372394247e-13       0.000000000000e+00       5.614910627182e-11       7.037081680419e-12      -8.393568781356e-15 
   49       1.902100491146e-10       1.547348300940e-14       8.672962610780e-14       0.000000000000e+00       5.372506195868e-11       6.759181773906e-12      -8.496583342377e-15 
   50       1.929389678373e-10       1.650625478005e-14       6.222294609811e-14       0.000000000000e+00       5.142962423583e-11       6.495022829448e-12      -8.629606168329e-15 
   51       1.956850881280e-10       1.757908655016e-14       3.589498329737e-14       0.000000000000e+00       4.925853511813e-11       6.244312073353e-12      -8.800125350237e-15 
   52       1.984533601886e-10       1.869205089223e-14       7.733678586673e-15       0.000000000000e+00       4.720976594076e-11       6.006928322047e-12      -9.005618827242e-15 
   53       2.012477249973e-10       1.984514967231e-14      -2.226950330201e-14       0.000000000000e+00       4.527663384696e-11       5.782233112617e-12      -9.242606912167e-15 
   54       2.040710102052e-10       2.103831171101e-14      -5.411948262202e-14       0.000000000000e+00       4.344748843282e-11       5.569035388892e-12      -9.506596947471e-15 
   55       2.069250936694e-10       2.227143581071e-14      -8.781878953474e-14       0.000000000000e+00       4.170927096076e-11       5.365983557418e-12      -9.791363285808e-15 
   56       2.098116801193e-10       2.354453771260e-14      -1.233718040666e-13       0.000000000000e+00       4.005994527543e-11       5.172936608959e-12      -1.008670455968e-14 
   57       2.127315350852e-10       2.485763554996e-14      -1.607814097679e-13       0.000000000000e+00       3.849860612798e-11       4.989871757918e-12      -1.038003232997e-14 
   58       2.156841425274e-10       2.621070712156e-14      -2.000477308904e-13       0.000000000000e+00       3.702171822901e-11       4.816468658237e-12      -1.065690747567e-14 
   59       2.186676111606e-10       2.760368932011e-14      -2.411680924996e-13       0.000000000000e+00       3.562295377270e-11       4.652090740251e-12      -1.090095895338e-14 
   60       2.216785807768e-10       2.903647756082e-14      -2.841369805872e-13       0.000000000000e+00       3.429302996089e-11       4.495766547558e-12      -1.109380255683e-14 
   61       2.247136477905e-10       3.050883611311e-14      -3.289466006861e-13       0.000000000000e+00       3.302228911938e-11       4.346466041690e-12      -1.121925149959e-14 
   62       2.277742277093e-10       3.202010686887e-14      -3.755887904750e-13       0.000000000000e+00       3.180948336668e-11       4.204044211021e-12      -1.127723636822e-14 
   63       2.308626228338e-10       3.356943389249e-14      -4.240534676510e-13       0.000000000000e+00       3.065468241577e-11       4.068477110853e-12      -1.127287970882e-14 
   64       2.339805547746e-10       3.515584341822e-14      -4.743280488258e-13       0.000000000000e+00       2.955663101764e-11       3.939576465770e-12      -1.121253376183e-14 
   65       2.371291189797e-10       3.677824045171e-14      -5.263974286279e-13       0.000000000000e+00       2.851267350576e-11       3.816980365602e-12      -1.110383539785e-14 
   66       2.403087392620e-10       3.843540537154e-14      -5.802439588053e-13       0.000000000000e+00       2.751867834060e-11       3.700143961401e-12      -1.095576105349e-14 
   67       2.435191223268e-10       4.012599053079e-14      -6.358474273276e-13       0.000000000000e+00       2.656896265411e-11       3.588330161405e-12      -1.077868166716e-14 
   68       2.467597891595e-10       4.184864966138e-14      -6.931851518467e-13       0.000000000000e+00       2.565781111246e-11       3.480803834825e-12      -1.058278675313e-14 
   69       2.500318958671e-10       4.360246413179e-14      -7.522323287819e-13       0.000000000000e+00       2.478455854900e-11       3.377480915462e-12      -1.037286302003e-14 
   70       2.533367017936e-10       4.538659735207e-14      -8.129617177522e-13       0.000000000000e+00       2.394940638691e-11       3.278394713720e-12      -1.015255159099e-14 
   71       2.566749951354e-10       4.720016961126e-14      -8.753435158262e-13       0.000000000000e+00       2.315188538556e-11       3.183500020368e-12      -9.925898243672e-15 
   72       2.600470622219e-10       4.904225807534e-14      -9.393453395488e-13       0.000000000000e+00       2.239082096037e-11       3.092669007312e-12      -9.697366636089e-15 
   73       2.634526567971e-10       5.091189678532e-14      -1.004932206969e-12       0.000000000000e+00       2.166429850277e-11       3.005687128369e-12      -9.471851532367e-15 
   74       2.668909692995e-10       5.280807665529e-14      -1.072066519666e-12       0.000000000000e+00       2.096962870005e-11       2.922249020036e-12      -9.254692028564e-15 
   75       2.703605961437e-10       5.472974547045e-14      -1.140708044778e-12       0.000000000000e+00       2.030331285531e-11       2.841954402268e-12      -9.051684778466e-15 
   76       2.738601688131e-10       5.667576113844e-14      -1.210815486267e-12       0.000000000000e+00       1.966191189044e-11       2.764411813111e-12      -8.867963960762e-15 
   77       2.773904414845e-10       5.864474160596e-14      -1.282351569237e-12       0.000000000000e+00       1.904491296444e-11       2.689580712948e-12      -8.704376148228e-15 
   78       2.809525300504e-10       6.063518744300e-14      -1.355278854423e-12       0.000000000000e+00       1.845232501871e-11       2.617484606980e-12      -8.560465335770e-15 
   79       2.845472691677e-10       6.264552521660e-14      -1.429558245579e-12       0.000000000000e+00       1.788380558034e-11       2.548106888265e-12      -8.435537703196e-15 
   80       2.881751950689e-10       6.467410653032e-14      -1.505149004096e-12       0.000000000000e+00       1.733864461276e-11       2.481388949707e-12      -8.328651602619e-15 
   81       2.918365283729e-10       6.671920706367e-14      -1.582008763616e-12       0.000000000000e+00       1.681574836643e-11       2.417228296050e-12      -8.238607545879e-15 
   82       2.955311568956e-10       6.877902561158e-14      -1.660093544649e-12       0.000000000000e+00       1.631362322944e-11       2.355476655869e-12      -8.163938191951e-15 
   83       2.992586184610e-10       7.085168312389e-14      -1.739357769190e-12       0.000000000000e+00       1.583035957824e-11       2.295938093569e-12      -8.102898334361e-15 
   84       3.030183922960e-10       7.293528058412e-14      -1.819753524193e-12       0.000000000000e+00       1.536409611149e-11       2.238418286282e-12      -8.053576629109e-15 
   85       3.068108663717e-10       7.502808577452e-14      -1.901228179704e-12       0.000000000000e+00       1.491453667117e-11       2.182885876294e-12      -8.014273992294e-15 
   86       3.106364996569e-10       7.712837585553e-14      -1.983726400827e-12       0.000000000000e+00       1.448165643841e-11       2.129334530236e-12      -7.983169866878e-15 
   87       3.144955159665e-10       7.923438130732e-14      -2.067190865717e-12       0.000000000000e+00       1.406523585268e-11       2.077733139508e-12      -7.958198210521e-15 
   88       3.183878919583e-10       8.134428595805e-14      -2.151562267571e-12       0.000000000000e+00       1.366485253773e-11       2.028024792191e-12      -7.937039529045e-15 
   89       3.223133451304e-10       8.345622701233e-14      -2.236779316623e-12       0.000000000000e+00       1.327987322767e-11       1.980125744953e-12      -7.917112909910e-15 
   90       3.262713218183e-10       8.556829507949e-14      -2.322778742129e-12       0.000000000000e+00       1.290944569292e-11       1.933924394953e-12      -7.895568055684e-15 
   91       3.302609851915e-10       8.767853420201e-14      -2.409495294368e-12       0.000000000000e+00       1.255249066622e-11       1.889280251755e-12      -7.869277317517e-15 
   92       3.342812032517e-10       8.978494188384e-14      -2.496861746623e-12       0.000000000000e+00       1.220769376870e-11       1.846022909230e-12      -7.834827728613e-15 
   93       3.383308877994e-10       9.188550482281e-14      -2.584810235454e-12       0.000000000000e+00       1.187381746322e-11       1.803993646566e-12      -7.789338205291e-15 
   94       3.424100957256e-10       9.397831219370e-14      -2.673276507736e-12       0.000000000000e+00       1.155070812125e-11       1.763179621510e-12      -7.733069047529e-15 
   95       3.465190719335e-10       9.606145953469e-14      -2.762196319032e-12       0.000000000000e+00       1.123842619567e-11       1.723598052871e-12      -7.667192004360e-15 
   96       3.506579060373e-10       9.813301507291e-14      -2.851504172316e-12       0.000000000000e+00       1.093693605737e-11       1.685254952739e-12      -7.593003391422e-15 
   97       3.548265251768e-10       1.001910202429e-13      -2.941133338342e-12       0.000000000000e+00       1.064610231417e-11       1.648144683562e-12      -7.511927451371e-15 
   98       3.590246868327e-10       1.022334902051e-13      -3.031015875999e-12       0.000000000000e+00       1.036568612980e-11       1.612249515206e-12      -7.425519714298e-15 
   99       3.632519716412e-10       1.042584143642e-13      -3.121082652681e-12       0.000000000000e+00       1.009534154288e-11       1.577539182036e-12      -7.335470358135e-15 
  100       3.675077762088e-10       1.062637568878e-13      -3.211263364640e-12       0.000000000000e+00       9.834611785877e-12       1.543970439979e-12      -7.243607569074e-15 
  101       3.717913059271e-10       1.082474572248e-13      -3.301486557355e-12       0.000000000000e+00       9.582925604107e-12       1.511486623598e-12      -7.151900901973e-15 
  102       3.761015677880e-10       1.102074306237e-13      -3.391679645890e-12       0.000000000000e+00       9.339593574672e-12       1.480017203161e-12      -7.062464640773e-15 
  103       3.804373631980e-10       1.121415686512e-13      -3.481768935257e-12       0.000000000000e+00       9.103804425449e-12       1.449477341710e-12      -6.977561158908e-15 
  104       3.847975322997e-10       1.140477913731e-13      -3.571680161927e-12       0.000000000000e+00       8.874808969139e-12       1.419787689741e-12      -6.899109956971e-15 
  105       3.891817399980e-10       1.159242108080e-13      -3.661340157811e-12       0.000000000000e+00       8.652508131331e-12       1.390937768562e-12      -6.827132005235e-15 
  106       3.935897832136e-10       1.177689906227e-13      -3.750675450067e-12       0.000000000000e+00       8.436937863758e-12       1.362930363215e-12      -6.761100540956e-15 
  107       3.980213444906e-10       1.195802975154e-13      -3.839611785796e-12       0.000000000000e+00       8.228087022772e-12       1.335761831578e-12      -6.700414578611e-15 
  108       4.024759875749e-10       1.213563023013e-13      -3.928074158130e-12       0.000000000000e+00       8.025895750017e-12       1.309421883829e-12      -6.644396838185e-15 
  109       4.069531529933e-10       1.230951809990e-13      -4.015986832321e-12       0.000000000000e+00       7.830253853109e-12       1.283893361907e-12      -6.592291673472e-15 
  110       4.114521536317e-10       1.247951159168e-13      -4.103273371832e-12       0.000000000000e+00       7.640999186306e-12       1.259152018973e-12      -6.543263000366e-15 
  111       4.159721703138e-10       1.264542967386e-13      -4.189856664423e-12       0.000000000000e+00       7.457916031191e-12       1.235166298872e-12      -6.496392225155e-15 
  112       4.205122473802e-10       1.280709216102e-13      -4.275658948240e-12       0.000000000000e+00       7.280733477339e-12       1.211897115594e-12      -6.450676172818e-15 
  113       4.250712882663e-10       1.296431982257e-13      -4.360601837906e-12       0.000000000000e+00       7.109123803000e-12       1.189297632737e-12      -6.405025015315e-15 
