# Matter power spectrum P(k) at redshift z=0
# for k=1.05305e-05 to 1.16662 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.053048017454e-05       4.621289737372e+01 
       2.337982137106e-05       9.985999146944e+01 
       3.627441084855e-05       1.526391766826e+02 
       4.924877295530e-05       2.050881620134e+02 
       6.233800277254e-05       2.575177656609e+02 
       7.557807751951e-05       3.101635268558e+02 
       8.900617790209e-05       3.632284297491e+02 
       1.026610236582e-04       4.169006628521e+02 
       1.165832275863e-04       4.713625588250e+02 
       1.308156723768e-04       5.267961381239e+02 
       1.454039145715e-04       5.833870275608e+02 
       1.603966199217e-04       6.413274688537e+02 
       1.758460342385e-04       7.008189433168e+02 
       1.918084934739e-04       7.620745752364e+02 
       2.083449761270e-04       8.253214483431e+02 
       2.255217000244e-04       8.908028203606e+02 
       2.434107639037e-04       9.587805898198e+02 
       2.620908318199e-04       1.029537524230e+03 
       2.816478549445e-04       1.103379546673e+03 
       3.021758204940e-04       1.180638185044e+03 
       3.237775109631e-04       1.261672647844e+03 
       3.465652481331e-04       1.346871906932e+03 
       3.706615851216e-04       1.436656281309e+03 
       3.961998957690e-04       1.531478550357e+03 
       4.233247939412e-04       1.631824192977e+03 
       4.521922963430e-04       1.738210464107e+03 
       4.829696224850e-04       1.851184118298e+03 
       5.158345069439e-04       1.971316737656e+03 
       5.509738859556e-04       2.099198252455e+03 
       5.885818183176e-04       2.235427082423e+03 
       6.288565167257e-04       2.380596910598e+03 
       6.719964077918e-04       2.535281283155e+03 
       7.181952135412e-04       2.700013400516e+03 
       7.676361562528e-04       2.875263984648e+03 
       8.204855261698e-04       3.061418759526e+03 
       8.768860008425e-04       3.258753551935e+03 
       9.369502371680e-04       3.467413900704e+03 
       1.000755336763e-03       3.687398021378e+03 
       1.068338778686e-03       3.918545577373e+03 
       1.139696302347e-03       4.160535672518e+03 
       1.214782015315e-03       4.412892994321e+03 
       1.293510731912e-03       4.675002535311e+03 
       1.375762275307e-03       4.946111913072e+03 
       1.461387256807e-03       5.225394523305e+03 
       1.550213722928e-03       5.511980597400e+03 
       1.642054046789e-03       5.804947552427e+03 
       1.736711519900e-03       6.103364805534e+03 
       1.833986239517e-03       6.406314908365e+03 
       1.933680046458e-03       6.712912344312e+03 
       2.035600416529e-03       7.022316878122e+03 
       2.139563325688e-03       7.333741926579e+03 
       2.245395187773e-03       7.646461589887e+03 
       2.352934006269e-03       7.959811808785e+03 
       2.462029895750e-03       8.273190883750e+03 
       2.572545123102e-03       8.586058300689e+03 
       2.684353801798e-03       8.897929662123e+03 
       2.797341350507e-03       9.208375881650e+03 
       2.911403804574e-03       9.517015661405e+03 
       3.026447047914e-03       9.823514968120e+03 
       3.142386014788e-03       1.012757931948e+04 
       3.259143896289e-03       1.042895261631e+04 
       3.376651374794e-03       1.072741083935e+04 
       3.494845901004e-03       1.102276064075e+04 
       3.613671021747e-03       1.131483414410e+04 
       3.733075762249e-03       1.160348878010e+04 
       3.853014063418e-03       1.188860101567e+04 
       3.973444272643e-03       1.217006887692e+04 
       4.094328685343e-03       1.244780376746e+04 
       4.215633133759e-03       1.272173587475e+04 
       4.337326619137e-03       1.299180429479e+04 
       4.459380983398e-03       1.325796397929e+04 
       4.581770616431e-03       1.352017709131e+04 
       4.704472195387e-03       1.377841523237e+04 
       4.827464452550e-03       1.403265102782e+04 
       4.950727968705e-03       1.428288633093e+04 
       5.074244989134e-03       1.452911458996e+04 
       5.197999259727e-03       1.477133559268e+04 
       5.321975880903e-03       1.500950058299e+04 
       5.446161177316e-03       1.524370515272e+04 
       5.570542581549e-03       1.547391533712e+04 
       5.695108530180e-03       1.570015190219e+04 
       5.819848370825e-03       1.592243617495e+04 
       5.944752278894e-03       1.614078908526e+04 
       6.069811182972e-03       1.635522144206e+04 
       6.195016697845e-03       1.656577207396e+04 
       6.320361064320e-03       1.677245261642e+04 
       6.445837095083e-03       1.697530876882e+04 
       6.571438125933e-03       1.717435887462e+04 
       6.697157971793e-03       1.736963655086e+04 
       6.822990886999e-03       1.756118033031e+04 
