# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_gsf2           16:(.)p_gsf2             17:(.)p_prime_gsf2       18:(.)cs2_gsf2           19:(.)w_gsf2             20:phi_gsf2              21:phi'_gsf2             22:phi''_gsf2            23:V_gsf2                24:V'_gsf2               25:V''_gsf2              26:P_gsf2                27:PX_gsf2               28:Pphi_gsf2             29:PXX_gsf2              30:PXphi_gsf2            31:Pphiphi_gsf2          32:PXXX_gsf2             33:PXXphi_gsf2           34:PXphiphi_gsf2         35:A_gsf2                36:B_gsf2                37:C_dif_gsf2            38:D_gsf2                39:(.)rho_tot            40:(.)p_tot              41:(.)p_tot_prime        42:gr.fac. D             43:gr.fac. f          
       1.000000000000e+14       7.559518509157e-26       4.634785000235e-09       2.157256292802e+22       1.413920331731e+04       1.413920331731e-10       1.413920331731e+18       2.676317464532e-09       2.751560535470e+44       2.490422367464e+33       1.336376166075e+34       3.530299370118e-08       1.902194177205e+44       4.653754712833e+44       4.473271654886e+02      -4.473271654886e+02      -3.962875236682e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01       0.000000000000e+00      -8.527099275713e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.314512585604e+08       0.000000000000e+00       0.000000000000e+00       4.653754712833e+44       1.551251570892e+44      -1.338578885210e+53       5.775206813994e-06       2.000000000000e+00 
       9.893085837570e+13       7.723792208823e-26       4.685716703534e-09       2.111374631024e+22       1.413920331731e+04       1.429200509271e-10       1.398803520930e+18       2.705240316110e-09       2.635761930281e+44       2.411394910978e+33       1.293969540318e+34       3.530299370118e-08       1.822140902098e+44       4.457902832533e+44       4.473271654886e+02      -4.473271654886e+02      -3.920506488008e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -4.272216974808e-35      -8.530044524645e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.268384335666e+08       0.000000000000e+00       0.000000000000e+00       4.457902832533e+44       1.485967610793e+44      -1.268536174643e+53       5.899361980158e-06       1.957908951181e+00 
       9.787314738953e+13       7.891635675380e-26       4.736648406833e-09       2.066468804568e+22       1.413920331731e+04       1.444645819046e-10       1.383848330246e+18       2.734475734723e-09       2.524836674885e+44       2.334875197339e+33       1.252908585004e+34       3.530299370118e-08       1.745456645219e+44       4.270293320253e+44       4.473271654886e+02      -4.473271654886e+02      -3.878590721261e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -8.593580913557e-35      -8.538840376691e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.222749262049e+08       0.000000000000e+00       0.000000000000e+00       4.270293320253e+44       1.423431106701e+44      -1.202158531080e+53       6.023517146308e-06       1.917553041713e+00 
       9.682674483178e+13       8.063126489070e-26       4.787580110133e-09       2.022518058854e+22       1.413920331731e+04       1.460258045634e-10       1.369053031730e+18       2.764027098839e-09       2.418579675807e+44       2.260783649468e+33       1.213150598578e+34       3.530299370118e-08       1.671999622440e+44       4.090579298390e+44       4.473271654886e+02      -4.473271654886e+02      -3.837123093424e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -1.296763511959e-34      -8.553430342208e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.177602092000e+08       0.000000000000e+00       0.000000000000e+00       4.090579298390e+44       1.363526432749e+44      -1.139254175590e+53       6.147672312450e-06       1.878827146123e+00 
       9.579152979933e+13       8.238343922800e-26       4.838511813432e-09       1.979502080722e+22       1.413920331731e+04       1.476038992898e-10       1.354415915909e+18       2.793897823452e-09       2.316794470871e+44       2.189043215469e+33       1.174654234510e+34       3.530299370118e-08       1.601634016574e+44       3.918428487584e+44       4.473271654886e+02      -4.473271654886e+02      -3.796098813257e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -1.739799845921e-34      -8.573762508543e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.132937609138e+08       0.000000000000e+00       0.000000000000e+00       3.918428487584e+44       1.306142829148e+44      -1.079641364298e+53       6.271827478595e-06       1.841634462244e+00 
       9.476738268169e+13       8.417368954567e-26       4.891262506135e-09       1.937400989045e+22       1.413920331731e+04       1.491990484195e-10       1.339935291586e+18       2.824091359693e-09       2.219292865953e+44       2.119579288499e+33       1.137379458305e+34       3.530299370118e-08       1.534229726263e+44       3.753522592351e+44       4.473271654886e+02      -4.473271654886e+02      -3.755513140745e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -2.188836734436e-34      -8.599789511473e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.088750652853e+08       0.000000000000e+00       0.000000000000e+00       3.753522592351e+44       1.251174197405e+44      -1.023147863295e+53       6.395982644736e-06       1.805885704713e+00 
       9.375418514718e+13       8.600284325758e-26       4.944013198838e-09       1.896195325534e+22       1.413920331731e+04       1.508114362587e-10       1.325609485645e+18       2.854611196175e-09       2.125894587024e+44       2.052319629182e+33       1.101287505862e+34       3.530299370118e-08       1.469662125423e+44       3.595556712578e+44       4.473271654886e+02      -4.473271654886e+02      -3.715361386551e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -2.644252009938e-34      -8.631468414330e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.045036117710e+08       0.000000000000e+00       0.000000000000e+00       3.595556712578e+44       1.198518904149e+44      -9.696104510082e+52       6.520137810877e-06       1.771498388655e+00 
       9.275182012925e+13       8.787174577801e-26       4.998582880944e-09       1.855866045754e+22       1.413920331731e+04       1.524412491055e-10       1.311436842858e+18       2.885460859268e-09       2.036426946831e+44       1.987194290481e+33       1.066340843165e+34       3.530299370118e-08       1.407811832824e+44       3.444238779782e+44       4.473271654886e+02      -4.473271654886e+02      -3.675638911474e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -3.106432047300e-34      -8.668760631511e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       4.001788952859e+08       0.000000000000e+00       0.000000000000e+00       3.444238779782e+44       1.148079593218e+44      -9.188744466288e+52       6.644292977018e-06       1.738396194401e+00 
       9.176017181296e+13       8.978126095006e-26       5.051333573647e-09       1.816394510313e+22       1.413920331731e+04       1.540886752712e-10       1.297415725695e+18       2.916643913472e-09       1.950724525616e+44       1.924135544956e+33       1.032503127248e+34       3.530299370118e-08       1.348564491358e+44       3.299289017096e+44       4.473271654886e+02      -4.473271654886e+02      -3.636341125913e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -3.575772170562e-34      -8.711631837663e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.959004161448e+08       0.000000000000e+00       0.000000000000e+00       3.299289017096e+44       1.099763005658e+44      -8.707932632011e+52       6.768448143157e-06       1.706508402067e+00 
       9.077912562158e+13       9.173227129470e-26       5.105903255753e-09       1.777762476255e+22       1.413920331731e+04       1.557539051021e-10       1.283544514131e+18       2.948163961687e-09       1.868628865258e+44       1.863077814332e+33       9.997391684009e+33       3.530299370118e-08       1.291810556602e+44       3.160439421979e+44       4.473271654886e+02      -4.473271654886e+02      -3.597463489334e+13       1.000000000000e+00      -1.000000000000e+00       6.295137200000e-01      -4.052676883858e-34      -8.760051954574e-25       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      -1.341981496466e+03       1.000000000000e+00      -8.527099275713e+03       0.000000000000e+00       0.000000000000e+00      -4.063660094198e+04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.000000000000e+00       3.916676800051e+08       0.000000000000e+00       0.000000000000e+00       3.160439421979e+44       1.053479807287e+44      -8.252279841044e+52       6.892603309293e-06       1.675769387306e+00 
