# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.100691908192e-10       4.182688485173e-15       2.853696067155e-13       0.000000000000e+00       8.242830565777e-09       4.732664176196e-10      -1.840666540716e-12 
    3       1.009296308315e-10       5.356625395032e-15       3.310954018655e-13       0.000000000000e+00       5.075085382241e-09       3.322139980324e-10      -1.394021678426e-12 
    4       9.296098278966e-11       4.629993784100e-15       3.148485456808e-13       0.000000000000e+00       3.533500642081e-09       2.500434495768e-10      -9.119980045276e-13 
    5       8.692306905178e-11       3.085944809428e-15       2.700311453451e-13       0.000000000000e+00       2.639000929941e-09       1.968213198951e-10      -5.063117700754e-13 
    6       8.253403341618e-11       1.722607090566e-15       2.170551004827e-13       0.000000000000e+00       2.062440555945e-09       1.597642888319e-10      -2.075683606377e-13 
    7       7.936893943244e-11       9.284265667913e-16       1.683168644643e-13       0.000000000000e+00       1.664415532851e-09       1.325825744635e-10      -1.716686019863e-14 
    8       7.713787249635e-11       5.973331816143e-16       1.296874418275e-13       0.000000000000e+00       1.375368603073e-09       1.119730407527e-10       7.983928943588e-14 
    9       7.566613171006e-11       4.782154152421e-16       1.030409167280e-13       0.000000000000e+00       1.157607341433e-09       9.604909445350e-11       1.068027715979e-13 
   10       7.472400056431e-11       4.059856900479e-16       8.771880983613e-14       0.000000000000e+00       9.889943141953e-10       8.351693379849e-11       8.958338944239e-14 
   11       7.417424449121e-11       3.390644321712e-16       8.141561227517e-14       0.000000000000e+00       8.364867054726e-10       7.356556013465e-11       5.225567578144e-14 
   12       7.384517169150e-11       2.930195160919e-16       8.124719670006e-14       0.000000000000e+00       7.310515861077e-10       6.501925498627e-11       1.243072748179e-14 
   13       7.375390107686e-11       2.787282671983e-16       8.465945006570e-14       0.000000000000e+00       6.444560567915e-10       5.807209498669e-11      -1.784754636102e-14 
   14       7.395730187110e-11       2.881215568898e-16       8.971397468320e-14       0.000000000000e+00       5.723821502786e-10       5.209253651185e-11      -3.430973484943e-14 
   15       7.444924324647e-11       3.093772693290e-16       9.517475506923e-14       0.000000000000e+00       5.117038786587e-10       4.696940659614e-11      -3.733751318547e-14 
   16       7.514634126338e-11       3.399374005855e-16       1.004292591789e-13       0.000000000000e+00       4.600805877251e-10       4.257742884227e-11      -3.066057561180e-14 
   17       7.606283438025e-11       3.852808502420e-16       1.053248772764e-13       0.000000000000e+00       4.157873840228e-10       3.871184539136e-11      -1.964394603005e-14 
   18       7.713516795888e-11       4.508300131536e-16       1.100741056475e-13       0.000000000000e+00       3.773317835003e-10       3.534690173483e-11      -9.158857675641e-15 
   19       7.835667006852e-11       5.368206542044e-16       1.149224303783e-13       0.000000000000e+00       3.441011606668e-10       3.244559714371e-11      -1.787323661239e-15 
   20       7.970664712038e-11       6.411316364388e-16       1.200837994633e-13       0.000000000000e+00       3.148242579539e-10       2.987038191606e-11       7.485176238586e-16 
   21       8.117187447606e-11       7.630682588138e-16       1.255417141813e-13       0.000000000000e+00       2.890447535626e-10       2.756894493989e-11      -9.992048805416e-16 
   22       8.272148922745e-11       9.021103589046e-16       1.311333710911e-13       0.000000000000e+00       2.661480009274e-10       2.548513985163e-11      -5.288061508894e-15 
   23       8.436352950051e-11       1.058382453627e-15       1.365577276911e-13       0.000000000000e+00       2.458201930480e-10       2.362126401439e-11      -1.032135222433e-14 
   24       8.610159658702e-11       1.232025285426e-15       1.414241234278e-13       0.000000000000e+00       2.275926619205e-10       2.197051238148e-11      -1.417874748559e-14 
   25       8.792471096151e-11       1.423039131753e-15       1.454310090775e-13       0.000000000000e+00       2.112527269821e-10       2.049179765054e-11      -1.606251285176e-14 
   26       8.980899047404e-11       1.631611135387e-15       1.483163999354e-13       0.000000000000e+00       1.965067620799e-10       1.912363637790e-11      -1.569867260390e-14 
   27       9.175815550757e-11       1.859657586326e-15       1.500124942435e-13       0.000000000000e+00       1.831785001153e-10       1.786745322518e-11      -1.370088985089e-14 
   28       9.377743100618e-11       2.109618189058e-15       1.505404436523e-13       0.000000000000e+00       1.710385674362e-10       1.673397890287e-11      -1.105409527400e-14 
   29       9.586993064687e-11       2.382860156851e-15       1.499826986178e-13       0.000000000000e+00       1.600254146275e-10       1.571794322930e-11      -8.418434464209e-15 
   30       9.802928845580e-11       2.680406949487e-15       1.484778045037e-13       0.000000000000e+00       1.500215368743e-10       1.479710810596e-11      -6.471613260879e-15 
   31       1.002422391847e-10       3.003228319663e-15       1.461666641319e-13       0.000000000000e+00       1.408238804848e-10       1.394095476510e-11      -5.841555831712e-15 
   32       1.025102056124e-10       3.352202339302e-15       1.430064084232e-13       0.000000000000e+00       1.323852494923e-10       1.314471242709e-11      -6.355950981288e-15 
   33       1.048341350304e-10       3.728127661186e-15       1.388856710593e-13       0.000000000000e+00       1.246461985447e-10       1.240649157220e-11      -7.498609049585e-15 
   34       1.072100906023e-10       4.131747713559e-15       1.336794318626e-13       0.000000000000e+00       1.174987868847e-10       1.172045002613e-11      -8.688207355122e-15 
