# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042992813617e-05       4.837525860371e+01 
       2.355052711268e-05       1.062500163103e+02 
       3.671840246518e-05       1.631755931028e+02 
       4.997031549082e-05       2.197493813594e+02 
       6.334365272373e-05       2.763158629992e+02 
       7.687677176946e-05       3.331367393971e+02 
       9.060935851900e-05       3.904383558422e+02 
       1.045828006604e-04       4.484311819036e+02 
       1.188405824419e-04       5.073198400288e+02 
       1.334287056750e-04       5.673092928514e+02 
       1.483961419661e-04       6.286091908871e+02 
       1.637953210781e-04       6.914372857452e+02 
       1.796826600921e-04       7.560225144305e+02 
       1.961191375613e-04       8.226077022447e+02 
       2.131709160162e-04       8.914522907233e+02 
       2.309100148119e-04       9.628350382545e+02 
       2.494150332114e-04       1.037056678367e+03 
       2.687719204783e-04       1.114442724177e+03 
       2.890747852790e-04       1.195346152695e+03 
       3.104267304604e-04       1.280150122755e+03 
       3.329406907959e-04       1.369270433854e+03 
       3.567402401194e-04       1.463157795373e+03 
       3.819603199587e-04       1.562299501037e+03 
       4.087478241260e-04       1.667220357732e+03 
       4.372619529276e-04       1.778482502148e+03 
       4.676742276507e-04       1.896683618646e+03 
       5.001680328977e-04       2.022453141507e+03 
       5.349375348891e-04       2.156445837144e+03 
       5.721858138185e-04       2.299332230205e+03 
       6.121220555712e-04       2.451785410759e+03 
       6.549576819128e-04       2.614463852015e+03 
       7.009013676241e-04       2.787990301428e+03 
       7.501530034817e-04       2.972927243295e+03 
       8.028968130321e-04       3.169749871809e+03 
       8.592940039737e-04       3.378818531521e+03 
       9.194755022140e-04       3.600352448285e+03 
       9.835354370250e-04       3.834408061915e+03 
       1.051526075770e-03       4.080864027753e+03 
       1.123454816084e-03       4.339415440426e+03 
       1.199283630373e-03       4.609578229670e+03 
       1.278931056286e-03       4.890704054448e+03 
       1.362276500811e-03       5.182003907956e+03 
       1.449166347997e-03       5.482548546829e+03 
       1.539421188348e-03       5.791335486367e+03 
       1.632843446219e-03       6.107390012250e+03 
       1.729224757391e-03       6.429677087301e+03 
       1.828352604108e-03       6.757174340547e+03 
       1.930015901479e-03       7.088893266725e+03 
       2.034009406405e-03       7.423895392171e+03 
       2.140136961896e-03       7.761303845481e+03 
       2.248213685767e-03       8.100310114571e+03 
       2.358067265165e-03       8.440176363378e+03 
       2.469538536151e-03       8.780236214414e+03 
       2.582481521480e-03       9.119891417960e+03 
       2.696763079855e-03       9.458609479346e+03 
       2.812262294070e-03       9.795919084357e+03 
       2.928869698711e-03       1.013140336904e+04 
       3.046486423601e-03       1.046469867945e+04 
       3.165023308250e-03       1.079548561301e+04 
       3.284400025706e-03       1.112348747748e+04 
       3.404544241093e-03       1.144846338183e+04 
       3.525390820337e-03       1.177020542304e+04 
       3.646881097466e-03       1.208853704732e+04 
       3.768962203875e-03       1.240330459388e+04 
       3.891586459585e-03       1.271438067400e+04 
       4.014710824341e-03       1.302165603153e+04 
       4.138296405072e-03       1.332504085630e+04 
       4.262308015513e-03       1.362445998666e+04 
       4.386713783508e-03       1.391985609765e+04 
       4.511484801461e-03       1.421118111685e+04 
       4.636594815597e-03       1.449839720643e+04 
       4.762019949890e-03       1.478147981907e+04 
       4.887738460897e-03       1.506040957145e+04 
       5.013730520004e-03       1.533517503871e+04 
       5.139978019987e-03       1.560577158076e+04 
       5.266464403060e-03       1.587220365685e+04 
       5.393174507947e-03       1.613447362352e+04 
       5.520094433729e-03       1.639258943025e+04 
       5.647211418540e-03       1.664657058779e+04 
       5.774513731361e-03       1.689643683419e+04 
       5.901990575396e-03       1.714220252227e+04 
       6.029632001697e-03       1.738389481446e+04 
       6.157428831848e-03       1.762153751034e+04 
       6.285372588676e-03       1.785516200121e+04 
       6.413455434077e-03       1.808479492342e+04 
       6.541670113161e-03       1.831046533492e+04 
       6.670009904000e-03       1.853221144859e+04 
       6.798468572359e-03       1.875006520520e+04 
       6.927040330881e-03       1.896405425239e+04 
       7.055719802215e-03       1.917419948255e+04 
       7.184501985683e-03       1.938059164812e+04 
       7.313382227104e-03       1.958321033170e+04 
       7.442356191438e-03       1.978210821291e+04 
       7.571419837961e-03       1.997732788599e+04 
       7.700569397709e-03       2.016889864868e+04 
       7.829801352954e-03       2.035685685888e+04 
       7.959112418523e-03       2.054124170204e+04 
       8.088499524751e-03       2.072208993299e+04 
       8.217959801931e-03       2.089943995829e+04 
       8.347490566102e-03       2.107331656872e+04 
       8.477089306046e-03       2.124377883802e+04 
       8.606753671384e-03       2.141084224099e+04 
       8.736481461668e-03       2.157455105560e+04 
       8.866270616363e-03       2.173493998727e+04 
       8.996119205657e-03       2.189204971456e+04 
       9.126025422010e-03       2.204591465062e+04 
       9.255987572373e-03       2.219656025352e+04 
       9.386004071034e-03       2.234402302527e+04 
       9.516073433011e-03       2.248834380406e+04 
       9.646194267973e-03       2.262955184653e+04 
       9.776365274617e-03       2.276767434171e+04 
       9.906585235478e-03       2.290275535512e+04 
       1.003685301213e-02       2.303483280353e+04 
       1.016716754075e-02       2.316392038907e+04 
       1.029752782801e-02       2.329006536318e+04 
       1.042793294727e-02       2.341329051147e+04 
       1.055838203504e-02       2.353362766998e+04 
       1.068887428774e-02       2.365111579047e+04 
       1.081940895863e-02       2.376578067085e+04 
       1.094998535503e-02       2.387765519230e+04 
       1.108060283568e-02       2.398675538886e+04 
       1.121126080830e-02       2.409312764068e+04 
       1.134195872739e-02       2.419679502589e+04 
       1.147269609207e-02       2.429778488642e+04 
       1.160347244416e-02       2.439611536518e+04 
       1.173428736638e-02       2.449184079116e+04 
       1.186514048064e-02       2.458496271814e+04 
       1.199603144647e-02       2.467551017339e+04 
       1.212695995960e-02       2.476352251480e+04 
       1.225792575057e-02       2.484901801209e+04 
       1.238892858348e-02       2.493202822149e+04 
       1.251996825483e-02       2.501258123186e+04 
       1.265104459242e-02       2.509068225457e+04 
       1.278215745436e-02       2.516637955539e+04 
       1.291330672810e-02       2.523969369535e+04 
       1.304449232962e-02       2.531063115730e+04 
       1.317571420255e-02       2.537923049926e+04 
       1.330697231750e-02       2.544551081183e+04 
       1.343826667133e-02       2.550950380516e+04 
       1.356959728653e-02       2.557121064558e+04 
       1.370096421064e-02       2.563066613187e+04 
       1.383236751569e-02       2.568788974073e+04 
       1.396380729774e-02       2.574291362118e+04 
       1.409528367644e-02       2.579573954108e+04 
       1.422679679456e-02       2.584639326289e+04 
       1.435834681770e-02       2.589489973038e+04 
       1.448993393388e-02       2.594127843568e+04 
       1.462155835330e-02       2.598556003648e+04 
       1.475322030803e-02       2.602772796879e+04 
